attemptdate,attemptresult,userid,type,maxsessionuid
3/1/2020 0:01,SYSLOGOUT,HBA1633,EXPRESS,873258
3/1/2020 1:01,SYSLOGOUT,HBA2266,LIMITED,873665
3/1/2020 1:02,SYSLOGOUT,HBA1758,AUTHORIZED,873787
3/1/2020 1:02,SYSLOGOUT,HBA1726,LIMITED,873366
3/1/2020 1:11,LOGIN,HBA1659,LIMITED,873260
3/1/2020 1:41,TIMEOUT,HBA1659,LIMITED,873260
3/1/2020 2:11,LOGIN,HBA1824,AUTHORIZED,873490
3/1/2020 2:23,LOGIN,HBA1789,LIMITED,873893
3/1/2020 2:42,TIMEOUT,HBA1824,AUTHORIZED,873490
3/1/2020 2:57,TIMEOUT,HBA1789,LIMITED,873893
3/1/2020 3:11,LOGIN,HBA1726,LIMITED,873902
3/1/2020 3:12,LOGIN,HBA1885,LIMITED,873903
3/1/2020 3:17,LOGOUT,HBA1885,LIMITED,873903
3/1/2020 3:28,LOGOUT,HBA1726,LIMITED,873902
3/1/2020 3:30,LOGIN,HBA1824,AUTHORIZED,874002
3/1/2020 3:44,LOGIN,HBA2225,EXPRESS,874102
3/1/2020 3:47,LOGIN,HBA1888,AUTHORIZED,874202
3/1/2020 3:54,LOGOUT,HBA2225,EXPRESS,874102
3/1/2020 4:11,TIMEOUT,HBA1824,AUTHORIZED,874002
3/1/2020 4:24,TIMEOUT,HBA1888,AUTHORIZED,874202
3/1/2020 4:30,LOGIN,HBA1869,LIMITED,874302
3/1/2020 4:51,LOGIN,HBA2254,EXPRESS,873904
3/1/2020 4:51,LOGIN,HBA1700,LIMITED,874402
3/1/2020 5:06,TIMEOUT,HBA1869,LIMITED,874302
3/1/2020 5:18,LOGIN,HBA2135,LIMITED,874103
3/1/2020 5:21,TIMEOUT,HBA2254,EXPRESS,873904
3/1/2020 5:36,LOGIN,HBA1676,AUTHORIZED,873905
3/1/2020 5:36,LOGOUT,HBA1676,AUTHORIZED,873905
3/1/2020 5:40,LOGIN,HBA1676,AUTHORIZED,874502
